comp1,comp2,label
-1.4147475,-1.300788,1
0.078534715,1.1942072,3
-0.83255076,5.1230516,4
1.3956877,2.3467476,4
0.43263584,4.8877597,4
-0.34812182,-2.3943295,4
1.2681471,5.943355,4
2.3394349,-1.528084,3
3.50872,-0.7368707,2
-0.6441056,3.816753,4
0.7307612,-1.6958597,2
1.553473,5.3304653,4
2.9549346,-0.54617405,1
-3.2501926,2.5950353,0
1.0551231,-3.988889,2
3.945444,-1.5319839,2
2.903694,0.21782692,3
1.0110995,4.9682503,4
2.3415427,5.2711244,4
0.6075407,0.15487911,2
1.846666,-1.727841,3
1.5543448,4.1156707,4
2.5713115,1.7542486,4
2.0287087,-0.21206222,3
2.818985,1.0358863,1
-0.28186235,0.91443074,3
1.0038652,6.28489,4
-1.4872589,2.1676972,3
-1.0255353,6.279741,4
2.7748694,-3.2299855,2
4.77168,3.7795591,2
2.9974906,-1.601844,1
-1.749897,0.80574375,3
-0.43138638,0.39360338,2
2.3639705,0.5386936,2
5.8858137,0.97702754,0
5.012361,2.5727065,4
5.0875254,-1.7584722,2
0.28948915,-3.1794043,1
2.4047945,3.1528423,4
3.4185486,-0.74202335,2
3.957933,-0.10544862,1
-1.5274956,4.4807706,4
-0.34672666,-1.1489608,3
2.0366383,-3.354346,3
1.0316625,4.033948,4
1.9238352,3.6929371,2
0.017047506,3.937228,4
1.1714723,-3.3944504,2
2.933438,2.4843524,4
-0.08401859,1.8808922,3
1.5062543,3.7723212,4
0.71025753,-0.07983805,2
4.9329996,-0.8849503,1
3.1520696,-1.3660399,3
1.2958378,6.492259,4
3.7666547,-1.6598166,2
1.6479161,4.6370115,4
1.6029809,-5.278625,4
0.8386327,-0.13097699,2
4.520005,0.088301875,2
-1.949186,2.5065916,3
1.1369393,4.2242217,4
1.1283568,5.716793,4
2.2822027,6.514969,4
1.9202079,-0.48491487,3
-0.4789282,-0.8097406,2
3.5731657,3.3985646,4
1.2249261,-4.633853,1
3.7116833,-4.1607757,1
4.105715,-1.8855959,2
4.3375425,0.84707904,3
-3.2635074,2.5111766,0
3.9772344,-0.8980852,3
1.9200629,-2.2327592,3
0.5642019,-1.0625061,2
0.78857154,-1.4309651,2
2.3810244,-3.8683481,3
3.3710635,-0.30550724,1
0.416448,-0.822416,2
